"age","gender","educ","income"
"GT 45","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","F","Others","10-50K"
"GT 45","M","Others","10-50K"
"20-30","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"GT 45","M","College","50-80K"
"31-45","M","College","50-80K"
"31-45","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","F","Others","10-50K"
"GT 45","M","College","50-80K"
"GT 45","F","Others","10-50K"
"GT 45","M","Others","10-50K"
"GT 45","M","Others","10-50K"
"20-30","F","Others","10-50K"
"31-45","F","Others","50-80K"
"20-30","M","Others","10-50K"
"31-45","M","Others","10-50K"
"31-45","F","Others","10-50K"
"31-45","M","Others","GT 80K"
"31-45","M","Others","10-50K"
"20-30","M","College","50-80K"
"GT 45","M","Others","10-50K"
"31-45","F","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","M","College","10-50K"
"GT 45","M","College","10-50K"
"GT 45","F","Others","10-50K"
"GT 45","M","Others","10-50K"
"20-30","F","College","10-50K"
"GT 45","M","Others","10-50K"
"GT 45","M","Prof/Phd","GT 80K"
"GT 45","F","Others","10-50K"
"31-45","M","College","50-80K"
"GT 45","M","College","10-50K"
"20-30","F","Others","10-50K"
"31-45","F","College","50-80K"
"GT 45","F","College","10-50K"
"GT 45","F","Others","10-50K"
"31-45","M","College","50-80K"
"31-45","F","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"GT 45","F","College","10-50K"
"31-45","M","College","GT 80K"
"GT 45","F","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","F","Others","10-50K"
"GT 45","M","Others","10-50K"
"31-45","M","College","10-50K"
"GT 45","F","Others","10-50K"
"GT 45","F","Others","50-80K"
"GT 45","M","Prof/Phd","GT 80K"
"31-45","F","Others","10-50K"
"GT 45","M","Others","10-50K"
"GT 45","M","College","GT 80K"
"31-45","F","Others","10-50K"
"20-30","M","College","50-80K"
"31-45","M","Others","10-50K"
"31-45","M","Others","10-50K"
"31-45","F","Others","10-50K"
"GT 45","F","Others","10-50K"
"GT 45","M","Others","10-50K"
"31-45","F","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","M","Others","10-50K"
"31-45","F","College","10-50K"
"GT 45","M","College","10-50K"
"GT 45","F","Others","10-50K"
"20-30","M","Others","10-50K"
"20-30","F","Prof/Phd","10-50K"
"31-45","M","College","10-50K"
"31-45","M","Others","10-50K"
"GT 45","M","Others","10-50K"
"31-45","F","College","10-50K"
"20-30","F","Others","10-50K"
"20-30","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"GT 45","F","Others","10-50K"
"GT 45","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"20-30","F","College","10-50K"
"GT 45","F","Others","10-50K"
"31-45","M","Others","10-50K"
"31-45","M","Others","10-50K"
"31-45","M","Others","10-50K"
"GT 45","M","Others","10-50K"
"GT 45","M","Prof/Phd","GT 80K"
"GT 45","M","College","10-50K"
"31-45","M","Others","50-80K"
"GT 45","F","College","10-50K"
"20-30","F","College","10-50K"
"31-45","M","Others","10-50K"
"GT 45","M","Others","10-50K"
"GT 45","F","College","10-50K"
"20-30","F","Others","10-50K"
"GT 45","M","Others","10-50K"
"31-45","M","College","GT 80K"
"GT 45","M","Others","10-50K"
"GT 45","F","College","10-50K"
"GT 45","F","College","10-50K"
"31-45","M","Others","10-50K"
"20-30","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","M","Prof/Phd","GT 80K"
"31-45","F","College","GT 80K"
"20-30","M","Others","10-50K"
"GT 45","M","Others","10-50K"
"20-30","M","Others","10-50K"
"GT 45","F","Others","10-50K"
"31-45","M","Others","10-50K"
"31-45","F","Others","10-50K"
"31-45","M","Others","10-50K"
"31-45","F","Others","10-50K"
"GT 45","F","College","10-50K"
"31-45","M","Others","10-50K"
